"zcta5","state","cd114","stab","zipname","pop10","afact"
"ZIP Census Tabulation Area","FIPS state","cd114","State Postal Code","zipname","Total Pop, 2010 census","zcta5 to cd114 alloc factor"
"01749","25","03","MA","Hudson, MA",19063,1 
"01752","25","03","MA","Marlborough, MA",38499,1 
"01754","25","03","MA","Maynard, MA",10106,1 
"01756","25","02","MA","Mendon, MA",5839,1 
"01757","25","02","MA","Milford, MA",62,0.002 
"01757","25","04","MA","Milford, MA",27999,0.998 
"01760","25","05","MA","Natick, MA",32786,1 
"01770","25","05","MA","Sherborn, MA",4119,1 
"01772","25","05","MA","Southborough, MA",9370,1 
"01773","25","03","MA","Lincoln, MA",36,0.007 
"01773","25","05","MA","Lincoln, MA",5076,0.993 
"01775","25","03","MA","Stow, MA",6590,1 
"01776","25","03","MA","Sudbury, MA",2648,0.15 
"01776","25","05","MA","Sudbury, MA",15011,0.85 
"01778","25","05","MA","Cochituate, MA",13109,1 
"01801","25","05","MA","Woburn, MA",38112,0.98 
"01801","25","06","MA","Woburn, MA",791,0.02 
"01803","25","06","MA","Burlington, MA",24487,1 
"01810","25","03","MA","Andover, MA",25051,0.755 
"01810","25","06","MA","Andover, MA",8150,0.245 
"01821","25","06","MA","Billerica, MA",30310,1 
"01824","25","03","MA","Chelmsford, MA",24911,1 
"01826","25","03","MA","Dracut, MA",29422,1 
"01827","25","03","MA","Dunstable, MA",3179,1 
"01830","25","03","MA","Haverhill, MA",25137,1 
"01832","25","03","MA","Haverhill, MA",22060,1 
"01833","25","06","MA","Georgetown, MA",8183,1 
"01834","25","06","MA","Groveland, MA",6459,1 
"01835","25","03","MA","Haverhill, MA",13682,1 
"01840","25","03","MA","Lawrence, MA",4733,1 
"01841","25","03","MA","Lawrence, MA",47225,1 
"01843","25","03","MA","Lawrence, MA",24425,1 
"01844","25","03","MA","Methuen Town, MA",47249,1 
"01845","25","06","MA","North Andover, MA",28352,1 
"01850","25","03","MA","Lowell, MA",15237,1 
"01851","25","03","MA","Lowell, MA",30190,1 
"01852","25","03","MA","Lowell, MA",33508,1 
"01854","25","03","MA","Lowell, MA",27606,1 
"01860","25","06","MA","Merrimac, MA",6338,1 
"01862","25","06","MA","North Billerica, MA",10227,1 
"01863","25","03","MA","North Chelmsford, MA",8891,1 
"01864","25","06","MA","North Reading, MA",14892,1 
"01867","25","06","MA","Reading, MA",23956,1 
"01876","25","06","MA","Tewksbury, MA",28667,1 
"01879","25","03","MA","Tyngsboro, MA",11305,1 
"01880","25","06","MA","Wakefield, MA",24733,1 
"01886","25","03","MA","Westford, MA",21951,1 
"01887","25","06","MA","Wilmington, MA",22325,1 
"01890","25","05","MA","Winchester, MA",21382,1 
"01901","25","06","MA","Lynn, MA",1689,1 
"01902","25","06","MA","Lynn, MA",45139,1 
"01904","25","06","MA","Lynn, MA",18203,1 
"01905","25","06","MA","Lynn, MA",25251,1 
"01906","25","06","MA","Saugus, MA",26660,1 
"01907","25","06","MA","Swampscott, MA",14027,1 
"01908","25","06","MA","Nahant, MA",3410,1 
"01913","25","06","MA","Amesbury Town, MA",16283,1 
"01915","25","06","MA","Beverly, MA",39502,1 
"01921","25","06","MA","Boxford, MA",7961,1 
"01922","25","06","MA","Byfield, MA",3108,1 
"01923","25","06","MA","Danvers, MA",26342,1 
"01929","25","06","MA","Essex, MA",3504,1 
"01930","25","06","MA","Gloucester, MA",28789,1 
"01937","25","06","MA","Danvers, MA",151,1 
"01938","25","06","MA","Ipswich, MA",13175,1 
"01940","25","06","MA","Lynnfield, MA",12108,1 
"01944","25","06","MA","Manchester, MA",5136,1 
"01945","25","06","MA","Marblehead, MA",19808,1 
"01949","25","06","MA","Middleton, MA",8987,1 
"01950","25","06","MA","Newburyport, MA",17416,1 
"01951","25","06","MA","Newbury, MA",3558,1 
"01952","25","06","MA","Salisbury, MA",8283,1 
